TRB,AST,STL,BLK,TOV,PF,PTS
124,203,48,2,82,89,542
252,121,93,20,76,130,885
949,295,85,40,189,257,1640
318,107,78,28,108,180,1013
78,130,17,11,58,61,250
20,14,5,2,8,9,10
58,116,12,9,50,52,240
709,187,55,139,204,251,1542
248,7,10,53,41,117,430
658,136,43,23,117,136,842
247,305,60,9,116,173,620
373,172,51,4,168,231,1387
121,1,9,11,17,59,77
52,2,3,8,15,32,101
477,107,69,61,99,141,898
23,2,0,3,2,17,10
68,16,11,1,19,48,141
47,9,8,0,13,36,90
21,7,3,1,6,12,51
546,109,72,61,91,186,667
164,111,46,6,92,96,946
94,57,23,4,35,51,436
70,54,23,2,57,45,510
13,2,1,1,4,5,13
162,137,30,14,59,99,501
191,124,64,15,93,152,769
401,39,36,38,68,175,513
70,17,12,7,19,46,123
129,266,40,10,85,115,382
38,81,13,2,28,33,134
91,185,27,8,57,82,248
311,242,98,17,176,174,1432
400,81,60,39,70,181,453
455,83,43,32,79,147,446
243,14,16,101,51,122,386
94,99,15,14,44,40,245
5,6,0,2,1,2,19
89,93,15,12,43,38,226
79,11,5,4,17,35,38
61,8,4,3,10,32,30
18,3,1,1,7,3,8
127,44,17,16,19,74,179
99,39,18,5,25,52,281
72,22,13,4,20,33,169
27,17,5,1,5,19,112
35,3,4,9,10,20,39
4,1,1,1,0,3,5
31,2,3,8,10,17,34
168,105,58,17,81,190,622
151,47,22,34,35,82,215
18,4,4,1,2,7,16
133,43,18,33,33,75,199
266,445,93,9,173,169,1146
399,154,44,29,107,189,719
336,212,39,12,115,131,586
2,5,0,0,4,6,26
559,131,64,99,116,285,954
304,28,15,43,53,105,459
191,49,34,30,23,69,296
69,36,5,13,21,60,115
38,2,5,3,12,34,62
32,18,3,2,10,17,74
259,104,65,16,84,158,899
10,1,2,0,4,13,14
737,150,72,34,100,175,1050
183,135,46,16,91,126,746
98,84,28,12,65,77,454
85,51,18,4,26,49,292
115,29,26,14,25,94,157
38,15,9,2,12,33,49
77,14,17,12,13,61,108
268,892,42,12,295,108,1333
194,353,48,2,139,147,818
89,25,10,17,16,54,163
704,132,32,100,117,198,687
222,75,32,26,67,160,635
33,6,7,2,2,21,113
620,218,70,79,149,208,2027
11,1,2,4,5,12,19
486,92,25,95,125,212,950
355,80,15,62,105,169,636
105,51,11,9,36,121,83
178,19,8,48,39,84,233
802,267,75,59,150,227,882
742,55,54,127,111,218,850
515,119,38,81,127,223,988
25,20,9,0,6,16,44
121,34,18,17,32,43,309
38,8,7,8,12,13,109
83,26,11,9,20,30,200
293,42,37,31,58,186,333
78,89,29,2,50,68,344
231,157,63,18,71,151,595
135,317,29,8,149,96,894
191,480,96,8,112,118,841
117,58,23,6,53,84,263
124,11,9,14,32,55,197
595,80,26,132,165,219,791
126,41,25,5,27,81,327
129,14,10,13,23,80,122
310,218,84,31,166,196,1296
215,49,53,31,69,138,651
329,117,42,19,51,204,399
61,0,6,2,11,36,79
116,35,9,6,33,71,169
88,106,35,3,59,53,410
74,123,40,13,56,109,255
248,161,34,22,60,77,661
238,8,8,43,39,95,123
16,29,9,1,10,15,56
178,45,29,7,44,97,256
29,7,3,1,5,18,39
149,38,26,6,39,79,217
215,42,28,51,49,92,384
14,1,1,1,3,9,14
13,0,1,1,2,9,10
1,1,0,0,1,0,4
950,149,80,34,174,226,1681
157,25,12,61,41,87,178
40,9,3,18,16,27,34
117,16,9,43,25,60,144
54,39,19,2,15,24,215
155,158,28,4,63,118,788
59,7,8,4,14,50,37
404,143,66,33,92,169,1239
374,93,70,18,62,169,678
143,324,54,7,106,182,852
110,163,49,5,73,116,567
72,112,27,5,53,66,397
38,51,22,0,20,50,170
89,212,50,5,114,84,434
50,121,29,3,59,46,234
39,91,21,2,55,38,200
360,794,189,11,246,198,1110
293,469,57,27,217,96,1619
49,12,13,6,11,69,92
27,7,7,4,3,34,54
22,5,6,2,8,35,38
285,305,61,16,129,136,1398
346,112,56,65,93,159,774
6,4,2,3,3,8,9
270,223,99,26,123,166,1245
174,125,65,22,70,101,649
96,98,34,4,53,65,596
48,27,9,4,17,59,78
705,169,63,26,163,246,1329
387,145,97,46,90,154,489
214,258,55,5,137,137,674
63,15,15,3,19,52,122
276,31,28,43,49,113,254
55,9,11,7,12,31,59
221,22,17,36,37,82,195
27,0,3,4,7,20,26
287,84,33,25,88,194,585
234,183,99,20,139,174,1156
135,33,21,28,35,110,189
157,21,6,19,22,95,194
705,342,130,172,198,240,1269
232,70,62,14,81,206,543
252,36,29,34,51,152,532
100,70,21,9,66,56,358
91,56,16,6,30,74,136
65,44,11,5,24,51,87
26,12,5,1,6,23,49
227,92,48,5,56,83,784
732,82,52,83,213,281,1896
281,348,101,12,163,205,1215
45,16,8,7,16,52,134
