TRB,AST,STL,BLK,PTS,TOV,PF
360,794,189,11,1110,246,198
293,469,57,27,1619,217,96
49,12,13,6,92,11,69
27,7,7,4,54,3,34
22,5,6,2,38,8,35
285,305,61,16,1398,129,136
346,112,56,65,774,93,159
6,4,2,3,9,3,8
270,223,99,26,1245,123,166
174,125,65,22,649,70,101
96,98,34,4,596,53,65
48,27,9,4,78,17,59
705,169,63,26,1329,163,246
387,145,97,46,489,90,154
214,258,55,5,674,137,137
63,15,15,3,122,19,52
276,31,28,43,254,49,113
55,9,11,7,59,12,31
221,22,17,36,195,37,82
27,0,3,4,26,7,20
287,84,33,25,585,88,194
234,183,99,20,1156,139,174
135,33,21,28,189,35,110
157,21,6,19,194,22,95
705,342,130,172,1269,198,240
232,70,62,14,543,81,206
252,36,29,34,532,51,152
100,70,21,9,358,66,56
91,56,16,6,136,30,74
65,44,11,5,87,24,51
26,12,5,1,49,6,23
227,92,48,5,784,56,83
732,82,52,83,1896,213,281
281,348,101,12,1215,163,205
45,16,8,7,134,16,52
46,16,10,3,128,19,15
67,122,34,11,228,50,82
45,126,24,5,208,50,71
41,114,22,5,169,44,65
4,12,2,0,39,6,6
31,21,13,6,136,27,42
14,7,4,4,45,14,16
3,2,1,0,11,2,1
14,12,8,2,80,11,25
140,292,94,17,1280,109,142
243,11,15,89,208,43,162
64,1,4,16,75,18,39
86,15,10,10,41,17,42
291,47,26,46,210,48,159
41,14,10,2,135,14,31
335,56,63,85,508,92,129
183,33,40,48,256,52,64
152,23,23,37,252,40,65
637,124,41,73,939,139,279
294,90,45,35,804,102,206
192,61,25,22,548,66,144
102,29,20,13,256,36,62
211,114,58,11,1057,76,127
66,108,33,5,133,63,67
320,87,32,33,539,46,128
1,0,0,0,0,0,1
319,87,32,33,539,46,127
10,4,0,0,51,5,6
7,3,0,0,43,4,5
3,1,0,0,8,1,1
191,90,23,54,207,49,98
343,304,55,32,835,125,220
191,58,34,6,250,42,83
219,372,89,10,1023,136,166
3,12,1,0,40,6,6
578,87,71,67,651,67,223
365,53,48,55,931,74,223
79,41,20,4,185,17,67
373,501,142,82,2045,252,181
88,40,23,3,329,28,83
5,3,0,0,8,2,4
83,37,23,3,321,26,79
597,105,86,84,381,64,131
762,161,117,83,1386,178,194
325,80,80,70,710,63,222
38,40,10,1,69,12,19
314,52,24,18,733,80,126
212,35,17,10,490,57,83
102,17,7,8,243,23,43
169,180,103,8,667,69,124
240,399,104,16,619,175,181
18,11,6,6,36,4,13
268,62,45,40,768,60,153
192,101,39,25,518,65,126
605,239,76,60,1541,173,233
169,196,55,28,528,90,86
27,9,8,0,30,7,25
401,652,108,34,1322,268,204
23,4,5,3,59,3,12
117,13,13,12,152,38,64
249,135,66,25,451,76,144
4,4,0,0,16,4,5
303,798,96,16,1419,252,208
126,298,53,3,493,87,65
83,34,12,5,224,18,73
187,268,80,15,898,106,110
93,161,32,1,269,74,43
416,93,66,46,820,72,160
206,368,70,21,1092,173,170
110,66,23,6,365,29,49
46,1,8,19,52,20,41
146,21,13,21,201,30,85
348,223,43,10,656,124,126
331,234,106,21,845,121,165
190,71,30,11,435,58,134
235,91,52,32,510,53,94
144,41,29,18,259,44,45
102,48,28,8,639,56,147
201,52,34,20,595,94,106
350,97,81,15,926,126,133
