TRB%,AST%,STL%,BLK%,TOV%,PF,PTS
15.3,5.6,0.5,2.9,11.6,183,474
13.7,3.4,0.7,6.2,11.9,54,105
15.5,7.5,1.5,1,8.2,251,840
5.4,21,1.2,0.2,14.6,48,385
3.5,28,0.8,0,18.3,5,37
5.5,20.4,1.2,0.2,14.3,43,348
6.1,12.4,3.1,0.5,11.1,39,93
6.5,10.8,2.2,0.7,7.9,25,70
5,16.8,5.2,0,16.6,14,23
5.8,27.7,1.4,0.2,17.3,151,931
6.3,27.1,2.1,1.9,30.3,7,20
6,25.5,0,0,21,0,1
9.4,33.5,6.3,5.8,18.6,2,7
4.4,23.5,0,0,38.5,5,12
10.6,4.6,0.9,2.5,28.5,21,23
10.4,4.9,0.9,2.7,32,19,21
12.6,0,0,0,0,2,2
7.7,17.7,2.2,1.1,13.9,197,1667
6.5,21.3,2.2,1.4,14.8,16,149
7.8,17.3,2.2,1.1,13.8,181,1518
11.1,41.8,2.2,2,12.3,119,2258
3.8,17.3,3.4,0,17.5,3,18
13.4,6.1,1.5,0.7,7.2,179,1235
13.1,5.8,1.4,0.4,7.1,112,840
14.2,6.8,1.8,1.1,7.5,67,395
14.1,8.7,1.2,1.6,17.5,58,124
15.4,2.1,2.8,0,13.8,10,37
16,10,1.3,3,9.9,205,1301
8.3,9.6,0.9,1.1,10.4,178,994
9.1,8,1.8,2.9,17.2,203,372
8.7,7.9,1.9,3,18.6,157,284
11.2,8.1,1.4,2.9,12.7,46,88
6,29.6,2.1,0.5,13,191,1270
13,4.2,1.9,1.1,10.8,230,741
13,4.9,1.2,2.3,10.6,170,623
16.1,5,1.6,3.5,13.6,255,511
6.8,24.2,1.4,0.2,17.8,32,130
9.4,9.8,1.4,4.3,20.5,126,256
7.1,22,1.5,0.1,8.8,145,1619
6.6,12.9,1,1.5,14.9,237,776
16.1,0,0,0,,1,0
5.3,5.1,1.2,0.6,7.7,45,146
11.6,7.3,1,3.9,16.2,125,207
17.9,2.9,0.7,4,20.3,152,336
15.6,8.6,0.7,2.7,14.3,213,1408
4,6.1,1.1,0.5,10,80,324
8.9,17.9,1.3,0.6,22.4,14,28
23.8,0,0,0,100,0,0
8.2,18.7,1.3,0.7,14.8,14,28
8.9,36.4,2.6,0.9,21.4,142,824
9.3,14,2.5,3.4,11.9,102,688
6.9,13.9,1.4,1,12.2,76,374
15.5,5.1,0.6,1.9,21.9,26,53
12.6,4.9,0.9,1.9,8.7,177,639
11.1,14.4,0,0,14.3,0,7
10.9,4.6,1.1,1.9,10.8,234,1343
11.6,5,1,2.4,11.3,146,839
9.9,4.1,1.3,1.2,10.1,88,504
9.7,0,0.5,1.3,11.7,14,44
10,0,0.5,1.4,12.2,14,44
0,0,0,0,0,0,0
4.1,17.5,2.3,0.4,15,16,113
1.7,15,4.3,0,8.8,5,31
1.8,16,1.6,2.5,13.6,3,16
5.8,19.2,1.5,0,17.4,8,66
5.4,24.2,1.8,0.1,15.4,89,542
6.1,9,2.1,0.6,8.3,130,885
17.9,17.5,1.4,1,11.9,257,1640
7.8,7.4,1.7,0.9,10.9,180,1013
5.6,26.3,1.1,1.1,20.7,61,250
8.8,14.7,2,1.1,33.3,9,10
5,28.6,0.9,1,19.5,52,240
13.5,11.8,1,3.4,13.1,251,1542
14.2,1.1,0.5,3.8,10.6,117,430
21.5,12.9,1.3,1,13.2,136,842
8.6,27.7,1.9,0.4,16.7,173,620
10,13.2,1.2,0.1,13,231,1387
19.8,0.4,1.3,2.5,17.2,59,77
18.5,2.1,1,3.5,16.5,32,101
11.5,7.2,1.5,1.9,10.6,141,898
18,3.6,0,3,16.4,17,10
9.8,6.2,1.4,0.2,11.3,48,141
9.5,4.5,1.4,0,11.8,36,90
10.6,10.2,1.4,0.7,10.4,12,51
15.8,8.5,1.8,2.3,11.6,186,667
5.8,11.2,1.4,0.3,9.8,96,946
7,11.9,1.5,0.4,7.9,51,436
4.7,10.5,1.4,0.2,11.6,45,510
11.3,4.2,0.8,1.1,22.5,5,13
6.3,13.5,1,0.7,10.4,99,501
5.6,9,1.6,0.6,12.5,152,769
15.7,4.1,1.3,2.1,12.3,175,513
12.1,8.1,1.9,1.5,13.2,46,123
5.9,31.5,1.6,0.6,17.5,115,382
6.2,33.1,1.8,0.4,16,33,134
5.8,30.9,1.5,0.7,18.4,82,248
5.8,12.2,1.6,0.4,11.9,174,1432
12.2,6.5,1.7,1.6,14.1,181,453
16.5,7.7,1.4,1.4,14.8,147,446
14.5,2.4,0.9,8,12.5,122,386
7.9,22.6,1.1,1.5,14.3,40,245
6.2,20.9,0,3.2,4.4,2,19
8.1,22.7,1.2,1.4,15.1,38,226
14.8,5.1,0.8,1,23.6,35,38
14.6,4.8,0.9,1,19.2,32,30
15.4,6.1,0.8,1.1,35.2,3,8
13.2,13.5,1.6,2.2,10.5,74,179
7.9,8.7,1.3,0.5,8.1,52,281
8.4,7.2,1.4,0.6,9.7,33,169
6.8,12,1.1,0.3,4.8,19,112
17.2,3.6,1.7,5.7,18.7,20,39
17.6,11,3.9,5.6,0,3,5
17.1,2.7,1.4,5.7,21.3,17,34
6.6,10.7,2,0.9,11.8,190,622
12.3,10.7,1.6,3.7,13.9,82,215
14.4,8.4,2.9,1.1,10.5,7,16
12.1,11,1.5,4,14.2,75,199
6.6,30.3,2,0.3,13.8,169,1146
11.4,12.2,1.2,1.1,13.6,189,719
10.7,18.4,1.1,0.5,19.6,131,586
3.3,27.1,0,0,12.9,6,26
14.5,8.9,1.4,3.5,12.2,285,954
18.6,5.4,0.8,3.6,11.8,105,459
10.8,6.9,1.7,2.2,7.9,69,296
9.5,12.5,0.6,2.3,18.1,60,115
17.9,2.6,2.1,1.8,18.5,34,62
7.4,11.3,0.6,0.6,10.2,17,74
7.1,7.6,1.5,0.6,10,158,899
10.6,2.9,1.9,0,17.4,13,14
17.2,10.6,1.5,1,10,175,1050
6.4,14,1.4,0.8,10.6,126,746
5.9,15.2,1.5,1,12.2,77,454
7,12.2,1.4,0.4,8,49,292
9.6,6.5,2,1.5,13.8,94,157
10.7,12,2.3,0.7,17.1,33,49
9.2,4.1,1.8,1.9,11.7,61,108
5.7,50.9,0.8,0.3,21.4,108,1333
6,32.1,1.3,0.1,15.5,147,818
12.7,9.9,1.2,3.2,9.6,54,163
20.3,10.8,0.9,4,16,198,687
